player_id,season_id,Goals_per_shot,Goals_per_Shot_on_Target,Minutes_per_Goal,Total_shots,Average_SofaScore_Rating,Shots_on_target,Shots_inside_box,Shots_outside_box,Regular_play,Goals,Header,Goal_conversion_percentage,Big_chances_missed,Expected_goals_xG,Non_penalty_xG,xG_on_target_xGOT,Penalty_goals,Minutes_played
6a926015-8b23-11ef-bdd6-00ff248ba4a4,3,0.17,0.38,0.2,60,6.8,26,47,13,38,10,3,16.67,5,7.45,7.45,7.54,0,"2,589"
6a926178-8b23-11ef-bdd6-00ff248ba4a4,3,0.19,0.41,0.11,47,6.84,22,35,12,36,9,1,19.15,5,6.85,6.06,6.19,0,"1,776"
6a9262df-8b23-11ef-bdd6-00ff248ba4a4,3,0.17,0.4,0.25,47,7.16,20,41,6,37,8,0,17.02,5,6.93,6.93,6.94,0,"2,859"
6a9264a2-8b23-11ef-bdd6-00ff248ba4a4,1,0.2,0.55,0.08,60,7.06,22,42,18,49,12,1,20,7,7.9,7.9,10.56,0,"1,646"
6a9264a2-8b23-11ef-bdd6-00ff248ba4a4,2,0.15,0.35,0.25,55,7.09,23,44,11,47,8,0,14.55,3,6.24,6.24,6.94,0,"2,254"
6a9264a2-8b23-11ef-bdd6-00ff248ba4a4,3,0.11,0.3,0.25,74,7.1,27,43,31,64,8,0,10.81,3,6.88,6.1,9.26,1,"2,810"
6a9265fd-8b23-11ef-bdd6-00ff248ba4a4,3,0.15,0.36,0.25,52,7.08,22,31,21,40,8,0,15.38,4,6.4,6.4,8.03,0,"2,851"
6a926771-8b23-11ef-bdd6-00ff248ba4a4,3,0.19,0.53,0.12,43,6.97,15,38,5,36,8,2,18.6,3,6.72,5.93,5.22,1,"1,585"
6a9268dc-8b23-11ef-bdd6-00ff248ba4a4,3,0.13,0.36,0.25,63,6.91,22,34,29,52,8,1,12.7,4,4.81,4.81,5.08,0,"2,184"
6a926a45-8b23-11ef-bdd6-00ff248ba4a4,1,0.19,0.46,0.15,69,7.23,28,62,7,54,13,3,18.84,13,12.34,11.56,11.22,1,"2,639"
6a926a45-8b23-11ef-bdd6-00ff248ba4a4,3,0.14,0.35,0.12,56,6.83,23,49,7,48,8,3,14.29,12,8.63,8.63,8.09,0,"1,810"
6a926ba5-8b23-11ef-bdd6-00ff248ba4a4,3,0.13,0.53,0.25,61,6.8,15,42,19,54,8,0,13.11,5,8.76,7.19,6.22,1,"2,275"
6a926d12-8b23-11ef-bdd6-00ff248ba4a4,1,0.13,0.36,0.25,62,8.01,22,37,25,52,8,0,12.9,2,4.07,4.07,4.73,0,"2,938"
6a926d12-8b23-11ef-bdd6-00ff248ba4a4,3,0.16,0.5,0.29,45,7.38,14,23,22,32,7,2,15.56,0,2.53,2.53,5.13,0,"2,887"
6a926e8a-8b23-11ef-bdd6-00ff248ba4a4,1,0.1,0.35,0.38,77,7.67,23,39,38,59,8,0,10.39,4,7.4,5.83,7.04,2,"3,098"
6a926e8a-8b23-11ef-bdd6-00ff248ba4a4,2,0.16,0.45,0.2,93,7.35,33,47,46,72,15,0,16.13,4,9.99,9.99,9.33,0,"3,143"
